geography	year	topic	category	sub_category	value_description	value
Carlton	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	858
Carlton	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	9532
Carlton	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	6818
Carlton	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1556
Docklands	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	695
Docklands	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	2511
Docklands	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	6753
Docklands	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	955
East Melbourne	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	184
East Melbourne	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	561
East Melbourne	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	2666
East Melbourne	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1278
Greater Melbourne	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	670090
Greater Melbourne	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	823033
Greater Melbourne	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	2141537
Greater Melbourne	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	963401
Kensington	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	1381
Kensington	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	1583
Kensington	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	6494
Kensington	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1303
Melbourne (CBD)	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	974
Melbourne (CBD)	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	17295
Melbourne (CBD)	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	17192
Melbourne (CBD)	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1448
City of Melbourne	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	7608
City of Melbourne	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	47421
City of Melbourne	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	68451
City of Melbourne	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	13858
North Melbourne	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	1285
North Melbourne	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	4969
North Melbourne	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	7276
North Melbourne	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1515
Parkville	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	324
Parkville	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	3265
Parkville	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	2474
Parkville	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1203
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	306
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	1019
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	3167
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1746
Southbank	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	752
Southbank	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	4877
Southbank	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	11382
Southbank	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1429
West Melbourne (Residential)	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	306
West Melbourne (Residential)	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	1437
West Melbourne (Residential)	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	3373
West Melbourne (Residential)	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	347
Carlton	2016	Residents: Age and gender	Age - median	Median age	Age in years	25.97
Docklands	2016	Residents: Age and gender	Age - median	Median age	Age in years	31.76
East Melbourne	2016	Residents: Age and gender	Age - median	Median age	Age in years	40.14.00
Greater Melbourne	2016	Residents: Age and gender	Age - median	Median age	Age in years	36
Kensington	2016	Residents: Age and gender	Age - median	Median age	Age in years	33.37.00
Melbourne (CBD)	2016	Residents: Age and gender	Age - median	Median age	Age in years	26.29.00
City of Melbourne	2016	Residents: Age and gender	Age - median	Median age	Age in years	28
North Melbourne	2016	Residents: Age and gender	Age - median	Median age	Age in years	28.79
Parkville	2016	Residents: Age and gender	Age - median	Median age	Age in years	31.22.00
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - median	Median age	Age in years	38.79
Southbank	2016	Residents: Age and gender	Age - median	Median age	Age in years	30.93
West Melbourne (Residential)	2016	Residents: Age and gender	Age - median	Median age	Age in years	29.73
Carlton	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	439
Carlton	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	352
Carlton	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	292
Carlton	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	2633
Carlton	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	5971
Carlton	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	3128
Carlton	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	1692
Carlton	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	937
Carlton	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	583
Carlton	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	543
Carlton	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	497
Carlton	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	404
Carlton	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	383
Carlton	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	343
Carlton	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	217
Carlton	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	204
Carlton	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	148
Carlton	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	90
Carlton	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	52
Carlton	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	6
Carlton	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	0
Docklands	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	546
Docklands	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	148
Docklands	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	75
Docklands	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	446
Docklands	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	1573
Docklands	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	2370
Docklands	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	1793
Docklands	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	960
Docklands	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	600
Docklands	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	497
Docklands	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	569
Docklands	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	480
Docklands	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	342
Docklands	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	311
Docklands	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	137
Docklands	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	74
Docklands	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	26
